ASCII SAMPLE CYCLES :			21082026  zz20 monoliths 1st.mdc
DATE :	21/08/2026	TIME :	12:05:33
CONVERTED CYCLES :			9750
Number of stored cycles			9750
Printed start cycle			1
Printed end cycle			9750
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	14.13	min:	1.68131E-010	max:	3.40415E-010	
'0/1'	16.13	min:	-5.87995E-013	max:	9.41275E-011	
'0/2'	18.16	min:	2.43818E-012	max:	2.42057E-011	
'0/3'	28.19	min:	2.87695E-009	max:	4.88846E-009	
'0/4'	32.22	min:	-6.73765E-013	max:	1.83888E-013	
'0/5'	40.22	min:	-8.66422E-013	max:	-5.88922E-013	
'0/6'	44.28	min:	-9.21663E-013	max:	1.14578E-009	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	'0/4'	'0/5'	'0/6'	
1	21/08/2026	12:05:33:00	0	3.40415E-010	-5.09584E-013	9.3538E-012	4.88846E-009	-5.42907E-013	-6.9551E-013	-9.08872E-013	
2	21/08/2026	12:05:33:80	0.8	3.37597E-010	-5.16442E-013	9.24258E-012	4.84818E-009	-5.68717E-013	-7.07003E-013	-8.93857E-013	
3	21/08/2026	12:05:34:60	1.6	3.35966E-010	-5.16998E-013	9.22404E-012	4.82058E-009	-5.64453E-013	-6.81237E-013	-9.03681E-013	
4	21/08/2026	12:05:35:40	2.4	3.35049E-010	-5.6779E-013	9.20735E-012	4.80007E-009	-5.39085E-013	-6.91601E-013	-8.99603E-013	
5	21/08/2026	12:05:36:19	3.199	3.34167E-010	-5.23857E-013	9.14499E-012	4.78312E-009	-5.33497E-013	-7.01072E-013	-8.74578E-013	
6	21/08/2026	12:05:36:99	3.999	3.33519E-010	-5.57224E-013	9.10729E-012	4.7694E-009	-5.5537E-013	-6.99218E-013	-8.49368E-013	
7	21/08/2026	12:05:37:79	4.799	3.32851E-010	-5.31828E-013	9.12765E-012	4.76083E-009	-5.29803E-013	-6.95881E-013	-8.67905E-013	
8	21/08/2026	12:05:38:59	5.599	3.32351E-010	-5.28306E-013	9.12185E-012	4.75235E-009	-5.36277E-013	-7.16828E-013	-8.80695E-013	
9	21/08/2026	12:05:39:40	6.409	3.32036E-010	-5.56482E-013	9.10547E-012	4.74402E-009	-5.54814E-013	-6.83276E-013	-8.76988E-013	
10	21/08/2026	12:05:40:20	7.209	3.31572E-010	-5.56668E-013	9.1017E-012	4.73585E-009	-5.49994E-013	-6.98105E-013	-8.8051E-013	
